INFO 2025-10-30 17:28:44,903 autoreload 16616 9244 Watching for file changes with StatReloader
WARNING 2025-11-15 00:09:11,271 log 16104 8556 Unauthorized: /api/auth/profile/
WARNING 2025-11-15 00:09:11,273 basehttp 16104 8556 "GET /api/auth/profile/ HTTP/1.1" 401 183
WARNING 2025-11-15 00:09:11,280 log 16104 8556 Unauthorized: /api/auth/profile/
WARNING 2025-11-15 00:09:11,281 basehttp 16104 8556 "GET /api/auth/profile/ HTTP/1.1" 401 183
INFO 2025-11-15 00:09:11,636 basehttp 16104 8556 "OPTIONS /api/books/ HTTP/1.1" 200 0
INFO 2025-11-15 00:09:11,636 basehttp 16104 16432 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-11-15 00:09:11,637 basehttp 16104 14628 "OPTIONS /api/books/ HTTP/1.1" 200 0
INFO 2025-11-15 00:09:11,640 basehttp 16104 8556 "OPTIONS /api/users/ HTTP/1.1" 200 0
WARNING 2025-11-15 00:09:11,646 log 16104 16432 Unauthorized: /api/users/
WARNING 2025-11-15 00:09:11,650 log 16104 14628 Unauthorized: /api/books/
WARNING 2025-11-15 00:09:11,652 basehttp 16104 16432 "GET /api/users/ HTTP/1.1" 401 183
WARNING 2025-11-15 00:09:11,653 basehttp 16104 14628 "GET /api/books/ HTTP/1.1" 401 183
WARNING 2025-11-15 00:09:11,658 log 16104 16432 Unauthorized: /api/users/
WARNING 2025-11-15 00:09:11,664 log 16104 14628 Unauthorized: /api/books/
WARNING 2025-11-15 00:09:11,667 basehttp 16104 16432 "GET /api/users/ HTTP/1.1" 401 183
WARNING 2025-11-15 00:09:11,668 basehttp 16104 14628 "GET /api/books/ HTTP/1.1" 401 183
INFO 2025-11-15 00:10:58,170 basehttp 16104 7676 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-11-15 00:10:59,826 basehttp 16104 7676 "POST /api/auth/login/ HTTP/1.1" 200 789
INFO 2025-11-15 00:11:00,033 basehttp 16104 7676 "OPTIONS /api/dashboard-stats/ HTTP/1.1" 200 0
INFO 2025-11-15 00:11:00,047 basehttp 16104 7676 "OPTIONS /api/borrow-records/ HTTP/1.1" 200 0
INFO 2025-11-15 00:11:00,054 basehttp 16104 7676 "OPTIONS /api/fines/ HTTP/1.1" 200 0
INFO 2025-11-15 00:11:00,058 basehttp 16104 7676 "OPTIONS /api/reservations/ HTTP/1.1" 200 0
INFO 2025-11-15 00:11:00,065 basehttp 16104 7676 "OPTIONS /api/categories/ HTTP/1.1" 200 0
INFO 2025-11-15 00:11:00,073 basehttp 16104 7676 "OPTIONS /api/borrow-records/ HTTP/1.1" 200 0
INFO 2025-11-15 00:11:00,076 basehttp 16104 7676 "OPTIONS /api/fines/ HTTP/1.1" 200 0
INFO 2025-11-15 00:11:00,081 basehttp 16104 7676 "OPTIONS /api/reservations/ HTTP/1.1" 200 0
INFO 2025-11-15 00:11:00,089 basehttp 16104 7676 "OPTIONS /api/categories/ HTTP/1.1" 200 0
INFO 2025-11-15 00:11:00,165 basehttp 16104 7676 "GET /api/dashboard-stats/ HTTP/1.1" 200 107
INFO 2025-11-15 00:11:00,712 basehttp 16104 13340 "GET /api/borrow-records/ HTTP/1.1" 200 2581
INFO 2025-11-15 00:11:00,772 basehttp 16104 13340 "GET /api/dashboard-stats/ HTTP/1.1" 200 107
INFO 2025-11-15 00:11:00,860 basehttp 16104 13340 "GET /api/borrow-records/ HTTP/1.1" 200 2581
INFO 2025-11-15 00:11:00,962 basehttp 16104 11308 "GET /api/fines/ HTTP/1.1" 200 2359
INFO 2025-11-15 00:11:01,021 basehttp 16104 16200 "GET /api/reservations/ HTTP/1.1" 200 1985
INFO 2025-11-15 00:11:01,088 basehttp 16104 10688 "GET /api/users/ HTTP/1.1" 200 6157
INFO 2025-11-15 00:11:01,141 basehttp 16104 6724 "GET /api/categories/ HTTP/1.1" 200 319
INFO 2025-11-15 00:11:01,192 basehttp 16104 13340 "GET /api/users/ HTTP/1.1" 200 6157
INFO 2025-11-15 00:11:01,219 basehttp 16104 6724 "GET /api/categories/ HTTP/1.1" 200 319
